epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0635,1.72906,3.18356,1.46901,0.01692,0.65347,0.08731,0.03578,1.58256,3.38996,1.35717,0.00024,0.00024,0.00024
2,36.6552,1.66008,2.13593,1.34214,0.02154,0.83168,0.17238,0.09472,1.48787,2.93404,1.14866,0.0004901,0.0004901,0.0004901
3,52.8899,1.61661,1.78839,1.28179,0.29281,0.46535,0.37873,0.18529,1.57347,2.78259,1.20054,0.000729904,0.000729904,0.000729904
4,69.271,1.56704,1.7145,1.25491,0.86693,0.16832,0.43883,0.24218,1.61199,2.51156,1.23861,0.000959412,0.000959412,0.000959412
5,85.7033,1.64795,1.8345,1.35909,0.84373,0.13861,0.44942,0.24399,1.64021,2.48654,1.24301,0.00117862,0.00117862,0.00117862
6,102.392,1.58605,1.63871,1.27003,0.66633,0.4703,0.57515,0.32484,1.58138,1.96543,1.23074,0.00138754,0.00138754,0.00138754
7,118.908,1.69518,1.94146,1.4016,0.57487,0.4901,0.4957,0.23332,1.66706,2.1598,1.25949,0.00158616,0.00158616,0.00158616
8,135.413,1.61425,1.75713,1.28977,0.55049,0.5099,0.50397,0.24869,1.64412,1.9094,1.26041,0.0017228,0.0017228,0.0017228
9,151.869,1.51553,1.63176,1.27861,0.66191,0.46535,0.54332,0.31233,1.57931,1.68892,1.30413,0.0016832,0.0016832,0.0016832
10,168.195,1.5424,1.56285,1.30805,0.4799,0.44554,0.45811,0.26441,1.59242,1.85413,1.31239,0.0016436,0.0016436,0.0016436
11,184.65,1.55653,1.53616,1.28356,0.48844,0.49505,0.50153,0.28525,1.58299,1.76299,1.31666,0.001604,0.001604,0.001604
12,200.948,1.46569,1.38936,1.23493,0.59281,0.44685,0.45803,0.23917,1.65497,1.84751,1.35129,0.0015644,0.0015644,0.0015644
13,217.332,1.56228,1.56011,1.2948,0.45799,0.41584,0.39931,0.21231,1.65095,2.00935,1.35563,0.0015248,0.0015248,0.0015248
14,233.846,1.44993,1.49192,1.21846,0.58844,0.45545,0.52379,0.31466,1.54353,1.78379,1.30988,0.0014852,0.0014852,0.0014852
15,250.155,1.44532,1.53122,1.2299,0.60188,0.5099,0.56087,0.30345,1.68354,1.76487,1.39129,0.0014456,0.0014456,0.0014456
